feature,importance
response_time_first,0.5411995598695348
resolution_seconds,0.18683424300971604
num_reassignments,0.06718333634098791
channel_email,0.013214696086303972
channel_portal,0.013198184965328316
channel_phone,0.013123759161227815
channel_chat,0.012913063728080848
assigned_group_team_d,0.012358255225551151
assigned_group_team_c,0.012097163504551749
customer_tier_standard,0.01201898024361418
category_hardware,0.011976302532370283
assigned_group_team_b,0.011815842448361268
category_billing,0.011776305104146928
assigned_group_team_a,0.011644260967175503
customer_tier_enterprise,0.011529693255232717
category_software,0.010818163795013776
category_network,0.010789192158002205
time_to_deadline_seconds,0.00999787579508021
customer_tier_vip,0.006568100728460498
priority_P3,0.0058959233961244665
priority_P2,0.005271578962818578
priority_P4,0.004872872595784469
priority_P1,0.0029026461265323966
